,Age,Role,Gender,Level,Awareness of use,Frequency if use (How often ),Affected learning,Effectiveness in understanding,Do you believe,Rate quality,Benefits,Challenges,How supportive,Familiar,Rate,BenefitS perceive,Concerns,Recommendations,Comments or Suggestions
178,18-25,Educator,Female,Masters,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,It should be fine tuned for specific task ,Ethical issues should be taken into consideration 
179,46-55,Educator,Female,Masters,Yes,Monthly,Somewhat improved,1.0,Agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,No ,Ethical issues should be taken into consideration 
180,46-55,Educator,Female,Masters,Yes,Rarely,Somewhat improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,No ,Ethical issues should be taken into consideration 
181,18-25,Educator,Male,Masters,Yes,Rarely,Somewhat improved,2.0,Strongly agree,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Reliability of information;Privacy concerns,Supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,Ethical issues should be taken into consideration 
182,36-45,Educator,Female,Masters,Yes,Monthly,Somewhat improved,2.0,Agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,2.0,2.0,Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,Ethical issues should be taken into consideration 
183,46-55,Educator,Male,Masters,Yes,Rarely,Somewhat improved,2.0,Strongly agree,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,No ,Ethical issues should be taken into consideration 
184,46-55,Educator,Female,Masters,Yes,Rarely,Somewhat improved,1.0,Strongly agree,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,2.0,2.0,Enhances personalized learning;Provides innovative teaching tools,Academic integrity;Job displacement for educators;Dependence on technology,No ,Ethical issues should be taken into consideration 
185,36-45,Educator,Male,PHD,Yes,Monthly,Somewhat improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,1.0,1.0,Enhances personalized learning;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,,Ethical issues should be taken into consideration 
186,18-25,Student,Female,Degree,Yes,Weekly,Somewhat improved,1.0,Agree,2.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,2.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Academic integrity;Job displacement for educators;Dependence on technology,Nope ,Ethical issues should be taken into consideration 
187,26-35,Student,Female,Degree,No,Never,No change,3.0,Neutral,3.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Neutral,3.0,3.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,Ethical issues should be taken into consideration 
188,26-35,Educator,Male,Masters,Yes,Daily,Somewhat improved,1.0,Strongly agree,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Provides innovative teaching tools,Job displacement for educators;Dependence on technology,,Ethical issues should be taken into consideration 
189,36-45,Educator,Male,Masters,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,2.0,2.0,Provides innovative teaching tools;Facilitates student engagement,Job displacement for educators;Dependence on technology,,Ethical issues should be taken into consideration 
190,26-35,Student,Male,PHD,Yes,Weekly,Somewhat improved,1.0,Strongly agree,1.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Provides innovative teaching tools;Facilitates student engagement,Job displacement for educators;Dependence on technology,,Ethical issues should be taken into consideration 
191,26-35,Educator,Male,Masters,No,Never,No change,3.0,Neutral,3.0,Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information,Neutral,3.0,3.0,Provides innovative teaching tools;Facilitates student engagement,Job displacement for educators;Dependence on technology,,Ethical issues should be taken into consideration 
192,18-25,Student,Male,Degree,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,Ethical issues should be taken into consideration 
193,18-25,Educator,Female,Degree,No,Never,No change,3.0,Neutral,3.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Neutral,3.0,2.0,Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,Ethical issues should be taken into consideration 
194,18-25,Student,Female,PHD,No,Never,No change,3.0,Neutral,3.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,3.0,3.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Nope ,Ethical issues should be taken into consideration 
195,46-55,Educator,Female,Masters,No,Never,No change,3.0,Neutral,3.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Job displacement for educators;Dependence on technology,,Ethical issues should be taken into consideration 
196,36-45,Educator,Female,Masters,No,Never,No change,3.0,Neutral,3.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Neutral,3.0,3.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Job displacement for educators;Dependence on technology,,Ethical issues should be taken into consideration 
197,18-25,Educator,Male,Degree,Yes,Weekly,No change,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,3.0,3.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Job displacement for educators;Dependence on technology,Nope ,Ethical issues should be taken into consideration 
198,36-45,Educator,Male,Masters,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,Ethical issues should be taken into consideration 
199,26-35,Student,Male,PHD,No,Never,No change,3.0,Neutral,3.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Neutral,3.0,3.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,Ethical issues should be taken into consideration 
200,36-45,Student,Male,Degree,No,Never,No change,3.0,Neutral,3.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Neutral,3.0,3.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No idea ,Ethical issues should be taken into consideration 
201,18-25,Educator,Female,PHD,Yes,Weekly,Significantly improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Provides innovative teaching tools;Facilitates student engagement,Job displacement for educators;Dependence on technology,,Ethical issues should be taken into consideration 
202,18-25,Student,Male,PHD,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,Ethical issues should be taken into consideration 
203,18-25,Student,Female,PHD,No,Never,No change,1.0,Strongly agree,1.0,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Technical issues;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,Ethical issues should be taken into consideration 
204,46-55,Educator,Male,PHD,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,1.0,1.0,Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators,,Ethical issues should be taken into consideration 
205,56 and above,Educator,Male,Masters,Yes,Rarely,No change,3.0,Disagree,3.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Unsupportive,1.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Not advisable ,Over dependence on technology 
206,56 and above,Educator,Female,Masters,No,Never,No change,3.0,Neutral,3.0,None ,Reliability of information;Privacy concerns,Neutral,3.0,3.0,Provides innovative teaching tools;Facilitates student engagement,Job displacement for educators;Dependence on technology,Implementation of academic policies regarding the the use of these technologies ,Over dependence on technology 
207,26-35,Student,Female,PHD,Yes,Monthly,Somewhat improved,2.0,Disagree,3.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Neutral,1.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,Over dependence on technology 
208,46-55,Educator,Male,Masters,Yes,Rarely,No change,3.0,Neutral,3.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Neutral,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,No idea 
209,26-35,Student,Male,PHD,Yes,Rarely,Somewhat improved,2.0,Neutral,1.0,Personalized learning experience;Accessibility to diverse resources,Technical issues;Privacy concerns,Strongly supportive,1.0,1.0,Provides innovative teaching tools;Facilitates student engagement,Job displacement for educators;Dependence on technology,No ,Over dependence on technology 
210,36-45,Student,Male,PHD,,Monthly,Somewhat improved,2.0,Agree,1.0,Increased engagement in learning;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,2.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks,Job displacement for educators;Dependence on technology,,No idea 
211,26-35,Student,Male,Degree,Yes,Weekly,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity,,
